Sentence #,Word,POS,Tag
Sentence: 1,Visitors,NNS,actor
Sentence: 1,are,VBP,O
Sentence: 1,the,DT,O
Sentence: 1,data,NN,O
Sentence: 1,consumers,NNS,O
Sentence: 1,.,.,O
Sentence: 2,They,PRP,O
Sentence: 2,only,RB,O
Sentence: 2,have,VBP,O
Sentence: 2,access,NN,action
Sentence: 2,to,TO,O
Sentence: 2,the,DT,O
Sentence: 2,system,NN,O
Sentence: 2,frontend,NN,O
Sentence: 2,.,.,O
Sentence: 3,once,RB,O
Sentence: 3,registered,VBN,state
Sentence: 3,",",",",O
Sentence: 3,a,DT,O
Sentence: 3,visitor,NN,actor
Sentence: 3,is,VBZ,O
Sentence: 3,offered,VBN,O
Sentence: 3,extra,JJ,O
Sentence: 3,functionalities,NNS,O
Sentence: 3,to,TO,O
Sentence: 3,save,VB,action
Sentence: 3,and,CC,O
Sentence: 3,load,VB,action
Sentence: 3,custom,NN,attribute
Sentence: 3,occurrence,NN,attribute
Sentence: 3,filters,NNS,attribute
Sentence: 3,.,.,O
Sentence: 4,Administrators,NNS,actor
Sentence: 4,are,VBP,O
Sentence: 4,responsible,JJ,O
Sentence: 4,for,IN,O
Sentence: 4,installing,VBG,O
Sentence: 4,",",",",O
Sentence: 4,configuring,VBG,O
Sentence: 4,and,CC,O
Sentence: 4,monitoring,VBG,O
Sentence: 4,the,DT,O
Sentence: 4,system,NN,O
Sentence: 4,and,CC,O
Sentence: 4,managing,NN,O
Sentence: 4,modules,NNS,network_component
Sentence: 4,.,.,O
Sentence: 5,They,PRP,O
Sentence: 5,are,VBP,O
Sentence: 5,also,RB,O
Sentence: 5,in,IN,O
Sentence: 5,charge,NN,O
Sentence: 5,of,IN,O
Sentence: 5,managing,VBG,O
Sentence: 5,user,JJ,final_entity
Sentence: 5,accounts,NNS,final_entity
Sentence: 5,and,CC,O
Sentence: 5,associated,JJ,O
Sentence: 5,roles,NNS,attribute
Sentence: 5,.,.,O
Sentence: 6,Administrators,NNS,actor
Sentence: 6,should,MD,O
Sentence: 6,have,VB,O
Sentence: 6,skills,NNS,O
Sentence: 6,in,IN,O
Sentence: 6,system,NN,O
Sentence: 6,administration,NN,O
Sentence: 6,",",",",O
Sentence: 6,database,VB,O
Sentence: 6,management,NN,O
Sentence: 6,and,CC,O
Sentence: 6,deployment,NN,O
Sentence: 6,of,IN,O
Sentence: 6,Web,NNP,O
Sentence: 6,applications,NNS,O
Sentence: 6,.,.,O
Sentence: 7,They,PRP,O
Sentence: 7,should,MD,O
Sentence: 7,also,RB,O
Sentence: 7,have,VB,O
Sentence: 7,basic,JJ,O
Sentence: 7,knowledge,NN,O
Sentence: 7,of,IN,O
Sentence: 7,Web-based,JJ,O
Sentence: 7,GIS,NNP,O
Sentence: 7,.,.,O
Sentence: 8,data,NN,actor
Sentence: 8,managers,NNS,actor
Sentence: 8,are,VBP,O
Sentence: 8,in,IN,O
Sentence: 8,charge,NN,O
Sentence: 8,of,IN,O
Sentence: 8,maintaining,VBG,O
Sentence: 8,portal,JJ,network_component
Sentence: 8,resources,NNS,O
Sentence: 8,.,.,O
Sentence: 9,data,NN,actor
Sentence: 9,managers,NNS,actor
Sentence: 9,should,MD,O
Sentence: 9,have,VB,O
Sentence: 9,basic,JJ,O
Sentence: 9,knowledge,NN,O
Sentence: 9,of,IN,O
Sentence: 9,taxonomy,NN,schema
Sentence: 9,and,CC,O
Sentence: 9,biodiversity,NN,O
Sentence: 9,data,NNS,O
Sentence: 9,.,.,O
Sentence: 10,portal,NN,actor
Sentence: 10,managers,NNS,actor
Sentence: 10,configure,VBP,action
Sentence: 10,the,DT,O
Sentence: 10,portal,JJ,network_component
Sentence: 10,according,VBG,O
Sentence: 10,to,TO,O
Sentence: 10,the,DT,O
Sentence: 10,node,NN,O
Sentence: 10,profile,NN,O
Sentence: 10,and,CC,O
Sentence: 10,contribute,JJ,action
Sentence: 10,news,NN,attribute
Sentence: 10,",",",",O
Sentence: 10,blog,NN,web_component
Sentence: 10,entries,NNS,O
Sentence: 10,and,CC,O
Sentence: 10,articles,NNS,O
Sentence: 10,.,.,O
Sentence: 11,the,DT,O
Sentence: 11,GBIF,NNP,O
Sentence: 11,Registry,NNP,O
Sentence: 11,is,VBZ,O
Sentence: 11,an,DT,O
Sentence: 11,application,NN,O
Sentence: 11,that,WDT,O
Sentence: 11,manages,VBZ,O
Sentence: 11,the,DT,O
Sentence: 11,nodes,NNS,O
Sentence: 11,",",",",O
Sentence: 11,organizations,NNS,O
Sentence: 11,",",",",O
Sentence: 11,resources,NNS,O
Sentence: 11,",",",",O
Sentence: 11,and,CC,O
Sentence: 11,IPT,NNP,datasource
Sentence: 11,installations,NNS,O
Sentence: 11,registered,VBD,state
Sentence: 11,with,IN,O
Sentence: 11,GBIF,NNP,O
Sentence: 11,",",",",O
Sentence: 11,making,VBG,O
Sentence: 11,them,PRP,O
Sentence: 11,discoverable,JJ,state
Sentence: 11,and,CC,O
Sentence: 11,interoperable,JJ,O
Sentence: 11,.,.,O
Sentence: 12,More,RBR,O
Sentence: 12,importantly,RB,O
Sentence: 12,in,IN,O
Sentence: 12,the,DT,O
Sentence: 12,context,NN,O
Sentence: 12,of,IN,O
Sentence: 12,the,DT,O
Sentence: 12,NPT,NNP,O
Sentence: 12,",",",",O
Sentence: 12,it,PRP,O
Sentence: 12,also,RB,O
Sentence: 12,acts,VBZ,O
Sentence: 12,as,IN,O
Sentence: 12,a,DT,O
Sentence: 12,repository,NN,O
Sentence: 12,for,IN,O
Sentence: 12,extensions,NNS,attribute
Sentence: 12,.,.,O
Sentence: 13,data,NNS,datasource
Sentence: 13,sources,NNS,datasource
Sentence: 13,resource,NN,O
Sentence: 13,repositories,NNS,O
Sentence: 13,that,WDT,O
Sentence: 13,NPT,NNP,O
Sentence: 13,instances,NNS,O
Sentence: 13,can,MD,O
Sentence: 13,harvest,VB,O
Sentence: 13,.,.,O
Sentence: 14,Two,CD,O
Sentence: 14,types,NNS,O
Sentence: 14,of,IN,O
Sentence: 14,sources,NNS,O
Sentence: 14,are,VBP,O
Sentence: 14,envisioned,VBN,O
Sentence: 14,in,IN,O
Sentence: 14,a,DT,O
Sentence: 14,first,JJ,O
Sentence: 14,approach,NN,O
Sentence: 14,:,:,O
Sentence: 14,IPT,NNP,datasource
Sentence: 14,instances,NNS,O
Sentence: 14,and,CC,O
Sentence: 14,GBIF,NNP,O
Sentence: 14,portal,VBP,network_component
Sentence: 14,Web,NNP,O
Sentence: 14,services,NNS,O
Sentence: 14,(,(,O
Sentence: 14,using,VBG,O
Sentence: 14,GBIF,NNP,O
Sentence: 14,Portal,NNP,network_component
Sentence: 14,API,NNP,O
Sentence: 14,),),O
Sentence: 14,.,.,O
Sentence: 15,Other,JJ,O
Sentence: 15,data,NNS,O
Sentence: 15,source,NN,O
Sentence: 15,types,NNS,O
Sentence: 15,may,MD,O
Sentence: 15,be,VB,O
Sentence: 15,provided,VBN,O
Sentence: 15,as,IN,O
Sentence: 15,modules,NNS,network_component
Sentence: 15,in,IN,O
Sentence: 15,the,DT,O
Sentence: 15,future,NN,O
Sentence: 15,.,.,O
Sentence: 16,The,DT,O
Sentence: 16,administrator,NN,actor
Sentence: 16,selects,VBZ,O
Sentence: 16,to,TO,O
Sentence: 16,manage,VB,action
Sentence: 16,modules,NNS,network_component
Sentence: 16,in,IN,O
Sentence: 16,order,NN,O
Sentence: 16,to,TO,O
Sentence: 16,add,VB,action
Sentence: 16,new,JJ,state
Sentence: 16,functionalities,NNS,O
Sentence: 16,to,TO,O
Sentence: 16,the,DT,O
Sentence: 16,system,NN,O
Sentence: 16,by,IN,O
Sentence: 16,installing,VBG,O
Sentence: 16,modules,NNS,network_component
Sentence: 16,.,.,O
Sentence: 17,This,DT,O
Sentence: 17,use,NN,O
Sentence: 17,cases,NNS,O
Sentence: 17,also,RB,O
Sentence: 17,allows,VBZ,O
Sentence: 17,the,DT,O
Sentence: 17,administrator,NN,actor
Sentence: 17,to,TO,O
Sentence: 17,configure,NN,action
Sentence: 17,or,CC,O
Sentence: 17,update,JJ,action
Sentence: 17,previously,RB,O
Sentence: 17,installed,VBN,O
Sentence: 17,modules,NNS,network_component
Sentence: 17,.,.,O
Sentence: 18,The,DT,O
Sentence: 18,administrator,NN,actor
Sentence: 18,selects,VBZ,O
Sentence: 18,to,TO,O
Sentence: 18,configure,VB,action
Sentence: 18,the,DT,O
Sentence: 18,distribution,NN,user_interface
Sentence: 18,map,NN,user_interface
Sentence: 18,to,TO,O
Sentence: 18,set,VB,O
Sentence: 18,the,DT,O
Sentence: 18,specific,JJ,O
Sentence: 18,projection,NN,attribute
Sentence: 18,and,CC,O
Sentence: 18,default,NN,state
Sentence: 18,extent,NN,attribute
Sentence: 18,for,IN,O
Sentence: 18,the,DT,O
Sentence: 18,Node,NNP,O
Sentence: 18,area,NN,O
Sentence: 18,of,IN,O
Sentence: 18,interest,NN,O
Sentence: 18,.,.,O
Sentence: 19,The,DT,O
Sentence: 19,administrator,NN,actor
Sentence: 19,selects,VBZ,O
Sentence: 19,to,TO,O
Sentence: 19,add,VB,action
Sentence: 19,or,CC,O
Sentence: 19,delete,VB,action
Sentence: 19,the,DT,O
Sentence: 19,spatial,JJ,attribute
Sentence: 19,layers,NNS,attribute
Sentence: 19,displayed,VBN,O
Sentence: 19,on,IN,O
Sentence: 19,the,DT,O
Sentence: 19,distribution,NN,user_interface
Sentence: 19,map,NN,user_interface
Sentence: 19,for,IN,O
Sentence: 19,the,DT,O
Sentence: 19,specific,JJ,O
Sentence: 19,Node,NNP,O
Sentence: 19,.,.,O
Sentence: 20,The,DT,O
Sentence: 20,security,NN,actor
Sentence: 20,officer,NN,actor
Sentence: 20,performs,VBZ,O
Sentence: 20,this,DT,O
Sentence: 20,use,NN,O
Sentence: 20,case,NN,O
Sentence: 20,in,IN,O
Sentence: 20,order,NN,O
Sentence: 20,to,TO,O
Sentence: 20,create,VB,action
Sentence: 20,or,CC,O
Sentence: 20,delete,VB,action
Sentence: 20,accounts,NNS,O
Sentence: 20,for,IN,O
Sentence: 20,the,DT,O
Sentence: 20,portal,JJ,network_component
Sentence: 20,staff,NN,O
Sentence: 20,members,NNS,O
Sentence: 20,so,IN,O
Sentence: 20,they,PRP,O
Sentence: 20,can,MD,O
Sentence: 20,access,NN,action
Sentence: 20,restricted,VBN,O
Sentence: 20,functionalities,NNS,O
Sentence: 20,.,.,O
Sentence: 21,The,DT,O
Sentence: 21,data,NN,actor
Sentence: 21,manager,NN,actor
Sentence: 21,wants,VBZ,O
Sentence: 21,to,TO,O
Sentence: 21,manage,VB,action
Sentence: 21,resources,NNS,O
Sentence: 21,in,IN,O
Sentence: 21,order,NN,O
Sentence: 21,to,TO,O
Sentence: 21,import,VB,action
Sentence: 21,a,DT,O
Sentence: 21,new,JJ,state
Sentence: 21,resource,NN,O
Sentence: 21,",",",",O
Sentence: 21,edit,VBZ,action
Sentence: 21,a,DT,O
Sentence: 21,resource,NN,O
Sentence: 21,metadata,NN,schema
Sentence: 21,or,CC,O
Sentence: 21,delete,VB,action
Sentence: 21,a,DT,O
Sentence: 21,resource,NN,O
Sentence: 21,.,.,O
Sentence: 22,The,DT,O
Sentence: 22,data,NN,actor
Sentence: 22,manager,NN,actor
Sentence: 22,registers,VBZ,O
Sentence: 22,a,DT,O
Sentence: 22,new,JJ,state
Sentence: 22,data,NNS,O
Sentence: 22,source,NN,O
Sentence: 22,so,IN,O
Sentence: 22,the,DT,O
Sentence: 22,associated,VBN,O
Sentence: 22,core,NN,O
Sentence: 22,resource,NN,O
Sentence: 22,is,VBZ,O
Sentence: 22,harvested,VBN,O
Sentence: 22,during,IN,O
Sentence: 22,next,JJ,O
Sentence: 22,harvesting,JJ,action
Sentence: 22,job,NN,action
Sentence: 22,.,.,O
Sentence: 23,Specializes,NNP,O
Sentence: 23,Register,NNP,action
Sentence: 23,a,DT,O
Sentence: 23,new,JJ,state
Sentence: 23,data,NNS,O
Sentence: 23,source,NN,O
Sentence: 23,to,TO,O
Sentence: 23,allow,VB,O
Sentence: 23,specific,JJ,O
Sentence: 23,configuration,NN,attribute
Sentence: 23,for,IN,O
Sentence: 23,GBIF,NNP,O
Sentence: 23,occurrence,NN,O
Sentence: 23,Web,NNP,O
Sentence: 23,services,NNS,O
Sentence: 23,data,NN,datasource
Sentence: 23,sources,NNS,datasource
Sentence: 23,.,.,O
Sentence: 24,Specializes,NNP,O
Sentence: 24,Register,NNP,action
Sentence: 24,a,DT,O
Sentence: 24,new,JJ,state
Sentence: 24,data,NNS,O
Sentence: 24,source,NN,O
Sentence: 24,to,TO,O
Sentence: 24,allow,VB,O
Sentence: 24,specific,JJ,O
Sentence: 24,configuration,NN,attribute
Sentence: 24,for,IN,O
Sentence: 24,IPT,NNP,datasource
Sentence: 24,.,.,O
Sentence: 25,The,DT,O
Sentence: 25,data,NN,actor
Sentence: 25,manager,NN,actor
Sentence: 25,previously,RB,O
Sentence: 25,added,VBD,O
Sentence: 25,a,DT,O
Sentence: 25,data,NN,O
Sentence: 25,source,NN,O
Sentence: 25,which,WDT,O
Sentence: 25,is,VBZ,O
Sentence: 25,no,DT,O
Sentence: 25,more,RBR,O
Sentence: 25,relevant,JJ,O
Sentence: 25,to,TO,O
Sentence: 25,the,DT,O
Sentence: 25,node,NN,O
Sentence: 25,or,CC,O
Sentence: 25,which,WDT,O
Sentence: 25,is,VBZ,O
Sentence: 25,no,DT,O
Sentence: 25,more,RBR,O
Sentence: 25,available,JJ,O
Sentence: 25,.,.,O
Sentence: 26,The,DT,O
Sentence: 26,data,NN,actor
Sentence: 26,manager,NN,actor
Sentence: 26,wants,VBZ,O
Sentence: 26,to,TO,O
Sentence: 26,unregister,VB,action
Sentence: 26,this,DT,O
Sentence: 26,source,NN,O
Sentence: 26,.,.,O
Sentence: 27,The,DT,O
Sentence: 27,data,NN,actor
Sentence: 27,manager,NN,actor
Sentence: 27,wants,VBZ,O
Sentence: 27,to,TO,O
Sentence: 27,manage,VB,action
Sentence: 27,jobs,NNS,O
Sentence: 27,so,RB,O
Sentence: 27,as,IN,O
Sentence: 27,to,TO,O
Sentence: 27,monitor,VB,action
Sentence: 27,finished,JJ,O
Sentence: 27,and,CC,O
Sentence: 27,upcoming,JJ,O
Sentence: 27,jobs,NNS,O
Sentence: 27,",",",",O
Sentence: 27,schedule,NN,action
Sentence: 27,a,DT,O
Sentence: 27,new,JJ,state
Sentence: 27,job,NN,O
Sentence: 27,or,CC,O
Sentence: 27,cancel,VB,action
Sentence: 27,a,DT,O
Sentence: 27,scheduled,JJ,O
Sentence: 27,job,NN,O
Sentence: 27,.,.,O
Sentence: 28,The,DT,O
Sentence: 28,data,NN,actor
Sentence: 28,manager,NN,actor
Sentence: 28,checks,NNS,O
Sentence: 28,core,VBP,datasource
Sentence: 28,resources,NNS,datasource
Sentence: 28,consistency,NN,state
Sentence: 28,with,IN,O
Sentence: 28,registered,JJ,state
Sentence: 28,data,NNS,datasource
Sentence: 28,sources,NNS,datasource
Sentence: 28,to,TO,O
Sentence: 28,identify,VB,O
Sentence: 28,outdated,VBN,O
Sentence: 28,core,NN,datasource
Sentence: 28,resources,NNS,datasource
Sentence: 28,and,CC,O
Sentence: 28,unavailable,JJ,O
Sentence: 28,data,NNS,datasource
Sentence: 28,sources,NNS,datasource
Sentence: 28,.,.,O
Sentence: 29,The,DT,O
Sentence: 29,data,NN,actor
Sentence: 29,manager,NN,actor
Sentence: 29,selects,NNS,O
Sentence: 29,to,TO,O
Sentence: 29,backup,VB,attribute
Sentence: 29,portal,JJ,network_component
Sentence: 29,data,NNS,O
Sentence: 29,so,RB,O
Sentence: 29,as,IN,O
Sentence: 29,to,TO,O
Sentence: 29,synchronize,VB,O
Sentence: 29,the,DT,O
Sentence: 29,portal,JJ,network_component
Sentence: 29,biodiversity,NN,O
Sentence: 29,data,NNS,O
Sentence: 29,with,IN,O
Sentence: 29,those,DT,O
Sentence: 29,hosted,VBN,O
Sentence: 29,on,IN,O
Sentence: 29,the,DT,O
